,EM,aug,dataset,examples,f1,seed
0,,baseline,searchqa,16.0,,42.0
1,,baseline,searchqa,16.0,,43.0
2,,baseline,searchqa,16.0,,44.0
3,,baseline,searchqa,16.0,,45.0
4,,baseline,searchqa,16.0,,46.0
5,,baseline,searchqa,32.0,,42.0
6,,baseline,searchqa,32.0,,43.0
7,,baseline,searchqa,32.0,,44.0
8,,baseline,searchqa,32.0,,45.0
9,,baseline,searchqa,32.0,,46.0
10,,baseline,searchqa,64.0,,42.0
11,,baseline,searchqa,64.0,,43.0
12,,baseline,searchqa,64.0,,44.0
13,,baseline,searchqa,64.0,,45.0
14,,baseline,searchqa,64.0,,46.0
15,21.172,baseline,searchqa,128.0,28.282,42.0
16,,baseline,searchqa,128.0,,43.0
17,,baseline,searchqa,128.0,,44.0
18,,baseline,searchqa,128.0,,45.0
19,,baseline,searchqa,128.0,,46.0
20,28.946,baseline,searchqa,256.0,35.406,42.0
21,30.406,baseline,searchqa,256.0,36.256,43.0
22,29.847,baseline,searchqa,256.0,36.363,44.0
23,29.199,baseline,searchqa,256.0,35.431,45.0
24,28.598,baseline,searchqa,256.0,34.336,46.0
25,,False,newsqa,16.0,,42.0
26,,False,newsqa,16.0,,43.0
27,,False,newsqa,16.0,,44.0
28,,False,newsqa,16.0,,45.0
29,,False,newsqa,16.0,,46.0
30,,False,newsqa,32.0,,42.0
31,,False,newsqa,32.0,,43.0
32,,False,newsqa,32.0,,44.0
33,,False,newsqa,32.0,,45.0
34,,False,newsqa,32.0,,46.0
35,,False,newsqa,64.0,,42.0
36,,False,newsqa,64.0,,43.0
37,,False,newsqa,64.0,,44.0
38,,False,newsqa,64.0,,45.0
39,,False,newsqa,64.0,,46.0
40,12.488,False,newsqa,128.0,21.688,42.0
41,13.913,False,newsqa,128.0,20.813,43.0
42,15.907,False,newsqa,128.0,24.769,44.0
43,15.812,False,newsqa,128.0,27.498,45.0
44,14.055,False,newsqa,128.0,24.307,46.0
45,20.513,False,newsqa,256.0,30.201,42.0
46,18.519,False,newsqa,256.0,29.146,43.0
47,,False,newsqa,256.0,,44.0
48,17.759,False,newsqa,256.0,27.301,45.0
49,23.575,False,newsqa,256.0,33.84,46.0
50,,text,searchqa,16.0,,42.0
51,,text,searchqa,16.0,,43.0
52,,text,searchqa,16.0,,44.0
53,,text,searchqa,16.0,,45.0
54,,text,searchqa,16.0,,46.0
55,,text,searchqa,32.0,,42.0
56,,text,searchqa,32.0,,43.0
57,,text,searchqa,32.0,,44.0
58,,text,searchqa,32.0,,45.0
59,,text,searchqa,32.0,,46.0
60,,text,searchqa,64.0,,42.0
61,,text,searchqa,64.0,,43.0
62,,text,searchqa,64.0,,44.0
63,,text,searchqa,64.0,,45.0
64,,text,searchqa,64.0,,46.0
65,,text,searchqa,128.0,,42.0
66,,text,searchqa,128.0,,43.0
67,,text,searchqa,128.0,,44.0
68,,text,searchqa,128.0,,45.0
69,,text,searchqa,128.0,,46.0
70,,text,searchqa,256.0,,42.0
71,,text,searchqa,256.0,,43.0
72,,text,searchqa,256.0,,44.0
73,,text,searchqa,256.0,,45.0
74,,text,searchqa,256.0,,46.0
